month_date,entity_id,account_id,ending_balance
2023-01-01,1,110,52148.60
2023-01-01,1,120,19709.36
2023-01-01,1,130,17762.86
2023-01-01,1,210,11649.80
2023-01-01,1,220,11912.44
2023-01-01,2,110,36860.51
2023-01-01,2,120,26490.23
2023-01-01,2,130,13316.50
2023-01-01,2,210,9369.80
2023-01-01,2,220,6256.44
2023-01-01,3,110,30304.37
2023-01-01,3,120,20299.46
2023-01-01,3,130,5619.16
2023-01-01,3,210,4258.30
2023-01-01,3,220,6385.49
2023-02-01,1,110,43607.91
2023-02-01,1,120,27083.14
2023-02-01,1,130,14536.40
2023-02-01,1,210,10454.12
2023-02-01,1,220,8787.64
2023-02-01,2,110,41578.48
2023-02-01,2,120,12590.59
2023-02-01,2,130,10630.71
2023-02-01,2,210,8110.92
2023-02-01,2,220,8226.92
2023-02-01,3,110,34382.46
2023-02-01,3,120,26275.06
2023-02-01,3,130,13513.31
2023-02-01,3,210,10820.12
2023-02-01,3,220,5007.97
2023-03-01,1,110,34641.61
2023-03-01,1,120,25564.01
2023-03-01,1,130,6568.52
2023-03-01,1,210,4966.34
2023-03-01,1,220,7680.23
2023-03-01,2,110,41272.67
2023-03-01,2,120,30979.96
2023-03-01,2,130,11783.36
2023-03-01,2,210,9212.31
2023-03-01,2,220,7608.22
2023-03-01,3,110,36454.57
2023-03-01,3,120,23122.41
2023-03-01,3,130,9081.75
2023-03-01,3,210,7185.63
2023-03-01,3,220,7958.79
2023-04-01,1,110,43668.35
2023-04-01,1,120,20017.63
2023-04-01,1,130,12260.54
2023-04-01,1,210,9248.06
2023-04-01,1,220,8096.47
2023-04-01,2,110,44432.40
2023-04-01,2,120,17388.56
2023-04-01,2,130,9541.84
2023-04-01,2,210,7231.52
2023-04-01,2,220,9926.83
2023-04-01,3,110,38278.13
2023-04-01,3,120,14184.97
2023-04-01,3,130,7314.03
2023-04-01,3,210,5435.48
2023-04-01,3,220,10096.41
2023-05-01,1,110,49594.08
2023-05-01,1,120,20909.87
2023-05-01,1,130,14712.43
2023-05-01,1,210,10671.15
2023-05-01,1,220,9003.76
2023-05-01,2,110,40250.40
2023-05-01,2,120,30415.45
2023-05-01,2,130,6124.16
2023-05-01,2,210,4384.07
2023-05-01,2,220,10677.64
2023-05-01,3,110,46679.74
2023-05-01,3,120,12859.79
2023-05-01,3,130,17211.85
2023-05-01,3,210,11946.88
2023-05-01,3,220,9072.00
2023-06-01,1,110,44374.46
2023-06-01,1,120,17304.54
2023-06-01,1,130,16711.21
2023-06-01,1,210,11680.28
2023-06-01,1,220,6769.53
2023-06-01,2,110,40832.58
2023-06-01,2,120,17353.47
2023-06-01,2,130,7317.65
2023-06-01,2,210,5051.11
2023-06-01,2,220,11173.99
2023-06-01,3,110,36922.43
2023-06-01,3,120,15218.36
2023-06-01,3,130,12065.29
2023-06-01,3,210,8147.44
2023-06-01,3,220,7733.05
2023-07-01,1,110,44697.32
2023-07-01,1,120,20801.62
2023-07-01,1,130,10453.52
2023-07-01,1,210,7317.30
2023-07-01,1,220,10416.17
2023-07-01,2,110,42825.66
2023-07-01,2,120,12649.22
2023-07-01,2,130,12390.83
2023-07-01,2,210,8627.25
2023-07-01,2,220,10121.05
2023-07-01,3,110,50653.54
2023-07-01,3,120,23149.21
2023-07-01,3,130,24020.19
2023-07-01,3,210,16514.76
2023-07-01,3,220,7969.24
2023-08-01,1,110,41142.49
2023-08-01,1,120,18869.02
2023-08-01,1,130,4022.07
2023-08-01,1,210,2918.15
2023-08-01,1,220,12999.42
2023-08-01,2,110,48237.85
2023-08-01,2,120,26961.23
2023-08-01,2,130,13231.41
2023-08-01,2,210,9510.14
2023-08-01,2,220,12361.03
2023-08-01,3,110,35633.35
2023-08-01,3,120,17569.55
2023-08-01,3,130,8268.47
2023-08-01,3,210,5847.22
2023-08-01,3,220,8422.06
2023-09-01,1,110,45984.53
2023-09-01,1,120,21537.14
2023-09-01,1,130,15107.36
2023-09-01,1,210,11308.20
2023-09-01,1,220,10523.93
2023-09-01,2,110,33667.82
2023-09-01,2,120,19408.41
2023-09-01,2,130,15075.16
2023-09-01,2,210,10997.07
2023-09-01,2,220,5382.57
2023-09-01,3,110,45882.00
2023-09-01,3,120,15169.79
2023-09-01,3,130,10009.22
2023-09-01,3,210,7094.58
2023-09-01,3,220,10861.88
2023-10-01,1,110,41179.78
2023-10-01,1,120,28765.58
2023-10-01,1,130,13679.93
2023-10-01,1,210,10156.83
2023-10-01,1,220,9472.30
2023-10-01,2,110,59017.19
2023-10-01,2,120,30779.63
2023-10-01,2,130,18471.16
2023-10-01,2,210,13120.60
2023-10-01,2,220,13647.68
2023-10-01,3,110,42620.80
2023-10-01,3,120,12261.96
2023-10-01,3,130,14206.65
2023-10-01,3,210,9695.18
2023-10-01,3,220,7889.29
2023-11-01,1,110,40802.70
2023-11-01,1,120,22700.52
2023-11-01,1,130,15716.03
2023-11-01,1,210,11012.95
2023-11-01,1,220,8347.30
2023-11-01,2,110,46712.95
2023-11-01,2,120,22398.87
2023-11-01,2,130,18870.35
2023-11-01,2,210,12525.45
2023-11-01,2,220,8260.72
2023-11-01,3,110,22761.79
2023-11-01,3,120,21683.20
2023-11-01,3,130,5277.68
2023-11-01,3,210,3365.08
2023-11-01,3,220,4129.22
2023-12-01,1,110,39615.13
2023-12-01,1,120,27050.80
2023-12-01,1,130,14943.39
2023-12-01,1,210,9544.24
2023-12-01,1,220,7723.77
2023-12-01,2,110,38039.67
2023-12-01,2,120,20703.46
2023-12-01,2,130,9291.58
2023-12-01,2,210,5669.21
2023-12-01,2,220,7940.87
2023-12-01,3,110,40513.86
2023-12-01,3,120,23232.46
2023-12-01,3,130,11305.72
2023-12-01,3,210,6765.40
2023-12-01,3,220,8294.74
2024-01-01,1,110,38343.84
2024-01-01,1,120,27671.06
2024-01-01,1,130,15272.75
2024-01-01,1,210,8928.25
2024-01-01,1,220,6548.64
2024-01-01,2,110,39447.89
2024-01-01,2,120,19564.54
2024-01-01,2,130,12733.58
2024-01-01,2,210,7364.10
2024-01-01,2,220,7135.42
2024-01-01,3,110,37909.15
2024-01-01,3,120,15806.41
2024-01-01,3,130,4402.02
2024-01-01,3,210,2610.96
2024-01-01,3,220,10444.51
2024-02-01,1,110,41510.45
2024-02-01,1,120,14708.29
2024-02-01,1,130,11406.16
2024-02-01,1,210,6472.84
2024-02-01,1,220,8330.50
2024-02-01,2,110,43351.57
2024-02-01,2,120,17617.21
2024-02-01,2,130,12685.90
2024-02-01,2,210,7526.01
2024-02-01,2,220,8607.22
2024-02-01,3,110,27927.23
2024-02-01,3,120,24844.66
2024-02-01,3,130,7960.59
2024-02-01,3,210,5092.82
2024-02-01,3,220,5709.28
2024-03-01,1,110,45678.52
2024-03-01,1,120,20212.88
2024-03-01,1,130,17364.20
2024-03-01,1,210,10502.26
2024-03-01,1,220,7432.43
2024-03-01,2,110,37425.13
2024-03-01,2,120,20876.21
2024-03-01,2,130,12797.84
2024-03-01,2,210,8474.08
2024-03-01,2,220,6817.69
2024-03-01,3,110,28477.91
2024-03-01,3,120,16488.41
2024-03-01,3,130,7709.65
2024-03-01,3,210,5630.34
2024-03-01,3,220,6205.16
2024-04-01,1,110,50505.52
2024-04-01,1,120,23471.12
2024-04-01,1,130,13627.29
2024-04-01,1,210,9418.81
2024-04-01,1,220,10435.22
2024-04-01,2,110,39045.90
2024-04-01,2,120,22606.56
2024-04-01,2,130,6485.10
2024-04-01,2,210,4948.94
2024-04-01,2,220,10633.69
2024-04-01,3,110,48592.59
2024-04-01,3,120,13839.39
2024-04-01,3,130,9631.83
2024-04-01,3,210,7941.79
2024-04-01,3,220,13882.15
2024-05-01,1,110,52881.46
2024-05-01,1,120,23879.97
2024-05-01,1,130,12518.31
2024-05-01,1,210,9926.16
2024-05-01,1,220,12332.32
2024-05-01,2,110,41694.16
2024-05-01,2,120,17488.59
2024-05-01,2,130,16669.66
2024-05-01,2,210,14127.44
2024-05-01,2,220,7128.29
2024-05-01,3,110,32129.49
2024-05-01,3,120,22208.01
2024-05-01,3,130,11903.04
2024-05-01,3,210,10336.94
2024-05-01,3,220,5389.65
2024-06-01,1,110,41667.15
2024-06-01,1,120,20008.01
2024-06-01,1,130,9961.99
2024-06-01,1,210,8555.29
2024-06-01,1,220,9905.49
2024-06-01,2,110,54156.22
2024-06-01,2,120,19761.53
2024-06-01,2,130,15525.37
