budget_month,account_id,cost_center_id,budgeted_amount
2023-01-01,100,10,107665.71
2023-02-01,100,10,88033.07
2023-03-01,100,10,77526.76
2023-04-01,100,10,117287.98
2023-05-01,100,10,67847.95
2023-06-01,100,10,124779.25
2023-07-01,100,10,129500.8
2023-08-01,100,10,92743.66
2023-09-01,100,10,100303.68
2023-10-01,100,10,72830.66
2023-11-01,100,10,76261.61
2023-12-01,100,10,105209.85
2024-01-01,100,10,58085.22
2024-02-01,100,10,57535.4
2024-03-01,100,10,126986.47
2024-04-01,100,10,71303.05
2024-05-01,100,10,58638.38
2024-06-01,100,10,69209.25
2024-07-01,100,10,68425.15
2024-08-01,100,10,129620.53
2024-09-01,100,10,74468.59
2024-10-01,100,10,85898.9
2024-11-01,100,10,113103.63
2024-12-01,100,10,100651.43
2023-01-01,101,10,78412.25
2023-02-01,101,10,63649.58
2023-03-01,101,10,113424.64
2023-04-01,101,10,66293.98
2023-05-01,101,10,50180.34
2023-06-01,101,10,82891.4
2023-07-01,101,10,97653.87
2023-08-01,101,10,87919.99
2023-09-01,101,10,63373.78
2023-10-01,101,10,77053.25
2023-11-01,101,10,87551.32
2023-12-01,101,10,101687.05
2024-01-01,101,10,110826.64
2024-02-01,101,10,50766.37
2024-03-01,101,10,54641.86
2024-04-01,101,10,69875.02
2024-05-01,101,10,117075.81
2024-06-01,101,10,99743.21
2024-07-01,101,10,61808.98
2024-08-01,101,10,116066.27
2024-09-01,101,10,85250.09
2024-10-01,101,10,114314.44
2024-11-01,101,10,89687.95
2024-12-01,101,10,113558.54
2023-01-01,102,10,70433.2
2023-02-01,102,10,72329.27
2023-03-01,102,10,115205.91
2023-04-01,102,10,56042.31
2023-05-01,102,10,127613.17
2023-06-01,102,10,55401.87
2023-07-01,102,10,81368.25
2023-08-01,102,10,55733.01
2023-09-01,102,10,85902.59
2023-10-01,102,10,76334.87
2023-11-01,102,10,123169.66
2023-12-01,102,10,82229.99
2024-01-01,102,10,122321.99
2024-02-01,102,10,56728.84
2024-03-01,102,10,111724.25
2024-04-01,102,10,129794.27
2024-05-01,102,10,67597.18
2024-06-01,102,10,80093.02
2024-07-01,102,10,121853.25
2024-08-01,102,10,129482.89
2024-09-01,102,10,90857.03
2024-10-01,102,10,87020.05
2024-11-01,102,10,122994.44
2024-12-01,102,10,102173.73
2023-01-01,103,10,58213.49
2023-02-01,103,10,56695.65
2023-03-01,103,10,98943.07
2023-04-01,103,10,62252.15
2023-05-01,103,10,87356.07
2023-06-01,103,10,99021.94
2023-07-01,103,10,101880.03
2023-08-01,103,10,127394.09
2023-09-01,103,10,118660.33
2023-10-01,103,10,65324.71
2023-11-01,103,10,129099.96
2023-12-01,103,10,120407.46
2024-01-01,103,10,66211.08
2024-02-01,103,10,72893.96
2024-03-01,103,10,98973.12
2024-04-01,103,10,120371.81
2024-05-01,103,10,110186.04
2024-06-01,103,10,51909.86
2024-07-01,103,10,74995.95
2024-08-01,103,10,60899.09
2024-09-01,103,10,59097.15
2024-10-01,103,10,98287.05
2024-11-01,103,10,116606.24
2024-12-01,103,10,96843.43
2023-01-01,104,10,89040.08
2023-02-01,104,10,98893.46
2023-03-01,104,10,87409.59
2023-04-01,104,10,101367.68
2023-05-01,104,10,93723.06
2023-06-01,104,10,111311.18
2023-07-01,104,10,123718.73
2023-08-01,104,10,88147.51
2023-09-01,104,10,59540.93
2023-10-01,104,10,63567.23
2023-11-01,104,10,66110.36
2023-12-01,104,10,92656.77
2024-01-01,104,10,77850.12
2024-02-01,104,10,57804.79
2024-03-01,104,10,87677.8
2024-04-01,104,10,107725.96
2024-05-01,104,10,51202.96
