transaction_date,entity_id,account_id,cost_center_id,debit_amount,credit_amount,net_amount
2023-01-01,2,101,11,1316.85,216.74,1100.11
2023-01-02,3,102,12,1330.74,87.86,1242.88
2023-01-03,1,103,10,5432.23,260.53,5171.7
2023-01-04,2,104,11,4249.58,1.2,4248.38
2023-01-05,3,100,12,2508.05,492.77,2015.28
2023-01-06,1,101,10,3798.8,89.99,3708.81
2023-01-07,2,102,11,3671.54,17.72,3653.82
2023-01-08,3,103,12,3965.73,263.08,3702.65
2023-01-09,1,104,10,4264.76,111.79,4152.97
2023-01-10,2,100,11,5122.83,10.88,5111.95
2023-01-11,3,101,12,2585.78,308.13,2277.65
2023-01-12,1,102,10,5868.43,349.78,5518.65
2023-01-13,2,103,11,3724.1,289.07,3435.03
2023-01-14,3,104,12,1910.73,379.46,1531.27
2023-01-15,1,100,10,1852.06,68.84,1783.22
2023-01-16,2,101,11,3619.34,358.21,3261.13
2023-01-17,3,102,12,2116.53,143.83,1972.7
2023-01-18,1,103,10,3109.02,44.19,3064.83
2023-01-19,2,104,11,1419.11,311.79,1107.32
2023-01-20,3,100,12,4130.42,24.19,4106.23
2023-01-21,1,101,10,4230.89,295.79,3935.1
2023-01-22,2,102,11,3581.51,3.58,3577.93
2023-01-23,3,103,12,1243.23,427.61,815.62
2023-01-24,1,104,10,3972.69,181.99,3790.7
2023-01-25,2,100,11,2800.68,187.89,2612.79
2023-01-26,3,101,12,3526.99,285.67,3241.32
2023-01-27,1,102,10,3876.35,89.47,3786.88
2023-01-28,2,103,11,1453.72,254.3,1199.42
2023-01-29,3,104,12,4864.37,451.45,4412.92
2023-01-30,1,100,10,2345.46,228.89,2116.57
2023-01-31,2,101,11,3340.63,411.53,2929.1
2023-02-01,3,102,12,5170.79,326.24,4844.55
2023-02-02,1,103,10,5917.74,392.82,5524.92
2023-02-03,2,104,11,3479.45,20.36,3459.09
2023-02-04,3,100,12,5441.66,470.27,4971.39
2023-02-05,1,101,10,5965.04,263.71,5701.33
2023-02-06,2,102,11,1463.84,115.06,1348.78
2023-02-07,3,103,12,1608.47,220.84,1387.63
2023-02-08,1,104,10,4333.47,427.5,3905.97
2023-02-09,2,100,11,2365.75,200.98,2164.77
2023-02-10,3,101,12,5081.04,381.88,4699.16
2023-02-11,1,102,10,4437.01,182.95,4254.06
2023-02-12,2,103,11,4893.38,452.7,4440.68
2023-02-13,3,104,12,1095.92,399.71,696.21
2023-02-14,1,100,10,5463.1,51.98,5411.12
2023-02-15,2,101,11,2240.99,141.58,2099.41
2023-02-16,3,102,12,3840.56,495.74,3344.82
2023-02-17,1,103,10,1171.75,420.46,751.29
2023-02-18,2,104,11,1567.65,487.03,1080.62
2023-02-19,3,100,12,1219.3,233.01,986.29
2023-02-20,1,101,10,4601.0,362.3,4238.7
2023-02-21,2,102,11,4931.42,196.75,4734.67
2023-02-22,3,103,12,3030.84,440.25,2590.59
2023-02-23,1,104,10,3091.85,299.13,2792.72
2023-02-24,2,100,11,3357.58,401.84,2955.74
2023-02-25,3,101,12,5509.31,297.95,5211.36
2023-02-26,1,102,10,4098.98,458.8,3640.18
2023-02-27,2,103,11,4726.75,18.44,4708.31
2023-02-28,3,104,12,3391.77,373.16,3018.61
2023-03-01,1,100,10,3664.7,286.23,3378.47
2023-03-02,2,101,11,5961.57,311.69,5649.88
2023-03-03,3,102,12,3430.59,365.48,3065.11
2023-03-04,1,103,10,3836.95,206.64,3630.31
2023-03-05,2,104,11,1047.11,17.47,1029.64
2023-03-06,3,100,12,5992.09,209.95,5782.14
2023-03-07,1,101,10,2380.61,102.72,2277.89
2023-03-08,2,102,11,3566.55,247.48,3319.07
2023-03-09,3,103,12,1901.83,338.83,1563.0
2023-03-10,1,104,10,3610.15,221.88,3388.27
2023-03-11,2,100,11,4258.81,415.97,3842.84
2023-03-12,3,101,12,2496.42,94.47,2401.95
2023-03-13,1,102,10,2054.25,483.16,1571.09
2023-03-14,2,103,11,2773.4,374.41,2398.99
2023-03-15,3,104,12,2677.11,377.7,2299.41
2023-03-16,1,100,10,4813.48,186.52,4626.96
2023-03-17,2,101,11,5881.18,234.2,5646.98
2023-03-18,3,102,12,3043.35,335.32,2708.03
2023-03-19,1,103,10,2564.24,345.3,2218.94
2023-03-20,2,104,11,4141.01,382.9,3758.11
2023-03-21,3,100,12,2190.82,13.4,2177.42
2023-03-22,1,101,10,1224.17,338.31,885.86
2023-03-23,2,102,11,4082.69,260.78,3821.91
2023-03-24,3,103,12,2681.62,235.89,2445.73
2023-03-25,1,104,10,3150.84,124.72,3026.12
2023-03-26,2,100,11,3898.07,328.16,3569.91
2023-03-27,3,101,12,4715.0,76.92,4638.08
2023-03-28,1,102,10,2294.55,106.79,2187.76
2023-03-29,2,103,11,5316.92,37.79,5279.13
2023-03-30,3,104,12,5180.86,259.67,4921.19
2023-03-31,1,100,10,3516.13,25.94,3490.19
2023-04-01,2,101,11,2103.08,114.91,1988.17
2023-04-02,3,102,12,1091.48,113.05,978.43
2023-04-03,1,103,10,1074.36,76.52,997.84
2023-04-04,2,104,11,3157.13,70.43,3086.7
2023-04-05,3,100,12,1326.33,93.77,1232.56
2023-04-06,1,101,10,3148.23,149.04,2999.19
2023-04-07,2,102,11,1851.49,48.03,1803.46
2023-04-08,3,103,12,5059.38,110.35,4949.03
2023-04-09,1,104,10,2302.16,25.22,2276.94
2023-04-10,2,100,11,4905.58,319.97,4585.61
2023-04-11,3,101,12,4659.04,367.84,4291.2
2023-04-12,1,102,10,3949.79,448.57,3501.22
2023-04-13,2,103,11,5486.97,332.63,5154.34
