transaction_date,entity_id,sku_id,product_name,units_sold,actual_unit_price,budget_unit_price,budget_units
2023-01-01,2,201,Implementation & Onboarding,1,660.07,1800.00,1
2023-01-01,2,202,Managed Support Plan,1,440.04,900.00,1
2023-01-05,3,102,Data Integration Engine,1,1309.93,1200.00,1
2023-01-05,3,103,Cloud Connector License,1,705.35,400.00,2
2023-01-06,1,201,Implementation & Onboarding,1,2596.17,1800.00,1
2023-01-06,1,203,Custom BI Consulting,1,1112.64,300.00,4
2023-01-10,2,101,Enterprise Analytics Platform,1,3067.17,2500.00,1
2023-01-10,2,102,Data Integration Engine,1,2044.78,1200.00,2
2023-01-11,3,202,Managed Support Plan,2,740.23,900.00,2
2023-01-11,3,203,Custom BI Consulting,1,797.19,300.00,3
2023-01-15,1,101,Enterprise Analytics Platform,1,1248.25,2500.00,1
2023-01-15,1,103,Cloud Connector License,1,534.97,400.00,1
2023-01-16,2,201,Implementation & Onboarding,1,1956.68,1800.00,1
2023-01-16,2,202,Managed Support Plan,1,1304.45,900.00,1
2023-01-20,3,102,Data Integration Engine,2,1334.52,1200.00,2
2023-01-20,3,103,Cloud Connector License,1,1437.19,400.00,4
2023-01-21,1,201,Implementation & Onboarding,2,1377.28,1800.00,2
2023-01-21,1,203,Custom BI Consulting,1,1180.54,300.00,4
2023-01-25,2,101,Enterprise Analytics Platform,1,1567.67,2500.00,1
2023-01-25,2,102,Data Integration Engine,1,1045.12,1200.00,1
2023-01-26,3,202,Managed Support Plan,2,1053.43,900.00,2
2023-01-26,3,203,Custom BI Consulting,1,1134.46,300.00,4
2023-01-30,1,101,Enterprise Analytics Platform,1,1481.60,2500.00,1
2023-01-30,1,103,Cloud Connector License,1,634.97,400.00,2
2023-01-31,2,201,Implementation & Onboarding,1,1757.46,1800.00,1
2023-01-31,2,202,Managed Support Plan,1,1171.64,900.00,1
2023-02-04,3,102,Data Integration Engine,3,1077.13,1200.00,3
2023-02-04,3,103,Cloud Connector License,1,1740.00,400.00,4
2023-02-05,1,201,Implementation & Onboarding,2,1995.46,1800.00,2
2023-02-05,1,203,Custom BI Consulting,1,1710.41,300.00,6
2023-02-09,2,101,Enterprise Analytics Platform,1,1298.86,2500.00,1
2023-02-09,2,102,Data Integration Engine,1,865.91,1200.00,1
2023-02-10,3,202,Managed Support Plan,3,1018.15,900.00,3
2023-02-10,3,203,Custom BI Consulting,1,1644.71,300.00,5
2023-02-14,1,101,Enterprise Analytics Platform,2,1893.89,2500.00,2
2023-02-14,1,103,Cloud Connector License,1,1623.34,400.00,4
2023-02-15,2,201,Implementation & Onboarding,1,1259.65,1800.00,1
2023-02-15,2,202,Managed Support Plan,1,839.76,900.00,1
2023-02-19,3,102,Data Integration Engine,1,641.09,1200.00,1
2023-02-19,3,103,Cloud Connector License,1,345.20,400.00,1
2023-02-20,1,201,Implementation & Onboarding,2,1483.54,1800.00,2
2023-02-20,1,203,Custom BI Consulting,1,1271.62,300.00,4
2023-02-24,2,101,Enterprise Analytics Platform,1,1773.44,2500.00,1
2023-02-24,2,102,Data Integration Engine,1,1182.30,1200.00,1
2023-02-25,3,202,Managed Support Plan,4,846.84,900.00,4
2023-02-25,3,203,Custom BI Consulting,1,1824.00,300.00,6
2023-03-01,1,101,Enterprise Analytics Platform,1,2364.93,2500.00,1
2023-03-01,1,103,Cloud Connector License,1,1013.54,400.00,3
2023-03-02,2,201,Implementation & Onboarding,2,1694.96,1800.00,2
