reporting_month,account_id,cost_center_id,actual_amount,budget_amount,budget_variance_absolute,budget_variance_percentage
2023-01-01,100,10,3899.79,107665.71,-103765.92,-96.38
2023-02-01,100,10,5411.12,88033.07,-82621.95,-93.85
2023-03-01,100,10,11495.62,77526.76,-66031.14,-85.17
2023-04-01,100,10,8063.88,117287.98,-109224.1,-93.12
2023-05-01,100,10,7506.8,67847.95,-60341.15,-88.94
2023-06-01,100,10,7945.13,124779.25,-116834.12,-93.63
2023-07-01,100,10,7661.63,129500.8,-121839.17,-94.08
2023-08-01,100,10,6376.55,92743.66,-86367.11,-93.12
2023-09-01,100,10,3863.61,100303.68,-96440.07,-96.15
2023-10-01,100,10,8880.61,72830.66,-63950.05,-87.81
2023-11-01,100,10,6545.04,76261.61,-69716.57,-91.42
2023-12-01,100,10,6387.45,105209.85,-98822.4,-93.93
2024-01-01,100,10,4669.32,58085.22,-53415.9,-91.96
2024-02-01,100,10,5204.87,57535.4,-52330.53,-90.95
2024-03-01,100,10,2820.42,126986.47,-124166.05,-97.78
2024-04-01,100,10,6388.25,71303.05,-64914.8,-91.04
2024-05-01,100,10,6898.76,58638.38,-51739.62,-88.24
2024-06-01,100,10,5460.21,69209.25,-63749.04,-92.11
2024-07-01,100,10,7866.52,68425.15,-60558.63,-88.5
2024-08-01,100,10,6762.07,129620.53,-122858.46,-94.78
2024-09-01,100,10,3227.63,74468.59,-71240.96,-95.67
2024-10-01,100,10,6602.74,85898.9,-79296.16,-92.31
2024-11-01,100,10,8545.14,113103.63,-104558.49,-92.44
2024-12-01,100,10,4612.77,100651.43,-96038.66,-95.42
2023-01-01,101,10,7643.91,78412.25,-70768.34,-90.25
2023-02-01,101,10,9940.03,63649.58,-53709.55,-84.38
2023-03-01,101,10,3163.75,113424.64,-110260.89,-97.21
2023-04-01,101,10,4025.29,66293.98,-62268.69,-93.93
2023-05-01,101,10,6057.51,50180.34,-44122.83,-87.93
2023-06-01,101,10,3950.17,82891.4,-78941.23,-95.23
2023-07-01,101,10,6821.58,97653.87,-90832.29,-93.01
2023-08-01,101,10,6246.65,87919.99,-81673.34,-92.9
2023-09-01,101,10,9573.57,63373.78,-53800.21,-84.89
2023-10-01,101,10,7946.31,77053.25,-69106.94,-89.69
2023-11-01,101,10,6318.67,87551.32,-81232.65,-92.78
2023-12-01,101,10,9137.28,101687.05,-92549.77,-91.01
2024-01-01,101,10,12068.73,110826.64,-98757.91,-89.11
2024-02-01,101,10,4352.67,50766.37,-46413.7,-91.43
2024-03-01,101,10,11087.04,54641.86,-43554.82,-79.71
2024-04-01,101,10,9947.4,69875.02,-59927.62,-85.76
2024-05-01,101,10,9053.37,117075.81,-108022.44,-92.27
2024-06-01,101,10,7001.15,99743.21,-92742.06,-92.98
2024-07-01,101,10,7047.54,61808.98,-54761.44,-88.6
2024-08-01,101,10,4795.29,116066.27,-111270.98,-95.87
2024-09-01,101,10,6689.76,85250.09,-78560.33,-92.15
2024-10-01,101,10,8354.62,114314.44,-105959.82,-92.69
2024-11-01,101,10,3712.27,89687.95,-85975.68,-95.86
2024-12-01,101,10,4936.93,113558.54,-108621.61,-95.65
2023-01-01,102,10,9305.53,70433.2,-61127.67,-86.79
2023-02-01,102,10,7894.24,72329.27,-64435.03,-89.09
2023-03-01,102,10,3758.85,115205.91,-111447.06,-96.74
2023-04-01,102,10,7430.16,56042.31,-48612.15,-86.74
2023-05-01,102,10,9352.48,127613.17,-118260.69,-92.67
2023-06-01,102,10,10884.41,55401.87,-44517.46,-80.35
2023-07-01,102,10,6761.47,81368.25,-74606.78,-91.69
2023-08-01,102,10,2509.71,55733.01,-53223.3,-95.5
2023-09-01,102,10,8933.06,85902.59,-76969.53,-89.6
2023-10-01,102,10,7642.14,76334.87,-68692.73,-89.99
2023-11-01,102,10,8381.58,123169.66,-114788.08,-93.2
2023-12-01,102,10,7761.32,82229.99,-74468.67,-90.56
2024-01-01,102,10,7918.88,122321.99,-114403.11,-93.53
2024-02-01,102,10,6053.86,56728.84,-50674.98,-89.33
2024-03-01,102,10,9632.54,111724.25,-102091.71,-91.38
2024-04-01,102,10,7996.14,129794.27,-121798.13,-93.84
2024-05-01,102,10,7761.22,67597.18,-59835.96,-88.52
2024-06-01,102,10,6422.5,80093.02,-73670.52,-91.98
2024-07-01,102,10,8125.79,121853.25,-113727.46,-93.33
2024-08-01,102,10,5393.93,129482.89,-124088.96,-95.83
2024-09-01,102,10,5738.24,90857.03,-85118.79,-93.68
2024-10-01,102,10,8303.48,87020.05,-78716.57,-90.46
2024-11-01,102,10,10065.7,122994.44,-112928.74,-91.82
2024-12-01,102,10,2712.55,102173.73,-99461.18,-97.35
2023-01-01,103,10,8236.53,58213.49,-49976.96,-85.85
2023-02-01,103,10,6276.21,56695.65,-50419.44,-88.93
2023-03-01,103,10,5849.25,98943.07,-93093.82,-94.09
2023-04-01,103,10,5795.87,62252.15,-56456.28,-90.69
2023-05-01,103,10,9376.62,87356.07,-77979.45,-89.27
2023-06-01,103,10,6249.22,99021.94,-92772.72,-93.69
2023-07-01,103,10,7974.02,101880.03,-93906.01,-92.17
2023-08-01,103,10,8469.01,127394.09,-118925.08,-93.35
2023-09-01,103,10,4711.87,118660.33,-113948.46,-96.03
2023-10-01,103,10,5906.9,65324.71,-59417.81,-90.96
2023-11-01,103,10,6697.36,129099.96,-122402.6,-94.81
2023-12-01,103,10,5827.94,120407.46,-114579.52,-95.16
2024-01-01,103,10,7808.77,66211.08,-58402.31,-88.21
2024-02-01,103,10,5482.58,72893.96,-67411.38,-92.48
2024-03-01,103,10,6924.21,98973.12,-92048.91,-93.0
2024-04-01,103,10,10797.77,120371.81,-109574.04,-91.03
2024-05-01,103,10,10799.36,110186.04,-99386.68,-90.2
2024-06-01,103,10,6113.01,51909.86,-45796.85,-88.22
2024-07-01,103,10,6509.19,74995.95,-68486.76,-91.32
2024-08-01,103,10,5457.73,60899.09,-55441.36,-91.04
2024-09-01,103,10,5196.68,59097.15,-53900.47,-91.21
2024-10-01,103,10,5286.21,98287.05,-93000.84,-94.62
2024-11-01,103,10,8704.29,116606.24,-107901.95,-92.54
2024-12-01,103,10,4705.57,96843.43,-92137.86,-95.14
2023-01-01,104,10,7943.67,89040.08,-81096.41,-91.08
2023-02-01,104,10,6698.69,98893.46,-92194.77,-93.23
2023-03-01,104,10,6414.39,87409.59,-80995.2,-92.66
2023-04-01,104,10,7675.78,101367.68,-93691.9,-92.43
2023-05-01,104,10,5375.81,93723.06,-88347.25,-94.26
2023-06-01,104,10,4149.86,111311.18,-107161.32,-96.27
2023-07-01,104,10,6722.52,123718.73,-116996.21,-94.57
2023-08-01,104,10,8557.76,88147.51,-79589.75,-90.29
2023-09-01,104,10,8508.87,59540.93,-51032.06,-85.71
2023-10-01,104,10,6007.6,63567.23,-57559.63,-90.55
2023-11-01,104,10,4273.87,66110.36,-61836.49,-93.54
2023-12-01,104,10,5121.62,92656.77,-87535.15,-94.47
2024-01-01,104,10,2296.05,77850.12,-75554.07,-97.05
2024-02-01,104,10,8198.94,57804.79,-49605.85,-85.82
2024-03-01,104,10,5431.64,87677.8,-82246.16,-93.8
2024-04-01,104,10,5803.67,107725.96,-101922.29,-94.61
2024-05-01,104,10,7321.29,51202.96,-43881.67,-85.7
2024-06-01,104,10,7284.57,60210.71,-52926.14,-87.9
2024-07-01,104,10,5985.02,69862.25,-63877.23,-91.43
2024-08-01,104,10,8758.14,124346.24,-115588.1,-92.96
2024-09-01,104,10,5594.9,105947.83,-100352.93,-94.72
2024-10-01,104,10,7185.52,109354.22,-102168.7,-93.43
2024-11-01,104,10,7570.54,67004.41,-59433.87,-88.7
2024-12-01,104,10,8462.83,97074.06,-88611.23,-91.28
2023-01-01,100,11,7724.74,69340.23,-61615.49,-88.86
2023-02-01,100,11,5120.51,58323.5,-53202.99,-91.22
2023-03-01,100,11,7412.75,97435.64,-90022.89,-92.39
2023-04-01,100,11,5855.08,75266.54,-69411.46,-92.22
2023-05-01,100,11,8651.45,68318.85,-59667.4,-87.34
2023-06-01,100,11,5976.01,113614.52,-107638.51,-94.74
2023-07-01,100,11,4739.85,103985.71,-99245.86,-95.44
2023-08-01,100,11,6454.15,100419.23,-93965.08,-93.57
2023-09-01,100,11,2507.88,123226.71,-120718.83,-97.96
2023-10-01,100,11,7829.85,74291.85,-66462.0,-89.46
2023-11-01,100,11,6741.35,95388.75,-88647.4,-92.93
2023-12-01,100,11,7103.13,68317.6,-61214.47,-89.6
2024-01-01,100,11,7844.87,112612.42,-104767.55,-93.03
2024-02-01,100,11,3908.23,68841.27,-64933.04,-94.32
2024-03-01,100,11,9989.51,97922.98,-87933.47,-89.8
2024-04-01,100,11,7762.09,114353.81,-106591.72,-93.21
2024-05-01,100,11,4380.67,99315.97,-94935.3,-95.59
2024-06-01,100,11,2301.38,85341.23,-83039.85,-97.3
2024-07-01,100,11,6214.05,62996.7,-56782.65,-90.14
2024-08-01,100,11,7454.91,115218.02,-107763.11,-93.53
2024-09-01,100,11,5051.59,82980.43,-77928.84,-93.91
2024-10-01,100,11,8194.27,120409.98,-112215.71,-93.19
2024-11-01,100,11,8871.73,59154.83,-50283.1,-85.0
2024-12-01,100,11,5500.8,53344.97,-47844.17,-89.69
2023-01-01,101,11,7290.34,81882.93,-74592.59,-91.1
2023-02-01,101,11,2099.41,87991.61,-85892.2,-97.61
2023-03-01,101,11,11296.86,124314.31,-113017.45,-90.91
2023-04-01,101,11,5424.94,126375.21,-120950.27,-95.71
2023-05-01,101,11,12256.41,117411.57,-105155.16,-89.56
2023-06-01,101,11,6106.41,68528.03,-62421.62,-91.09
2023-07-01,101,11,3722.36,120402.96,-116680.6,-96.91
2023-08-01,101,11,10367.16,74618.14,-64250.98,-86.11
2023-09-01,101,11,8845.4,75751.33,-66905.93,-88.32
2023-10-01,101,11,9612.05,126022.98,-116410.93,-92.37
2023-11-01,101,11,6113.59,119301.6,-113188.01,-94.88
2023-12-01,101,11,5420.26,115207.58,-109787.32,-95.3
2024-01-01,101,11,4868.29,69596.19,-64727.9,-93.0
2024-02-01,101,11,8213.28,103883.98,-95670.7,-92.09
2024-03-01,101,11,4540.11,100656.73,-96116.62,-95.49
2024-04-01,101,11,7339.38,57180.66,-49841.28,-87.16
2024-05-01,101,11,6511.55,125765.46,-119253.91,-94.82
2024-06-01,101,11,9244.3,114453.74,-105209.44,-91.92
2024-07-01,101,11,7182.54,51556.72,-44374.18,-86.07
2024-08-01,101,11,4994.86,94489.66,-89494.8,-94.71
2024-09-01,101,11,5476.55,60657.65,-55181.1,-90.97
2024-10-01,101,11,9357.27,125029.63,-115672.36,-92.52
2024-11-01,101,11,7333.57,62245.94,-54912.37,-88.22
2024-12-01,101,11,5910.57,91186.08,-85275.51,-93.52
2023-01-01,102,11,7231.75,122721.88,-115490.13,-94.11
2023-02-01,102,11,6083.45,86659.3,-80575.85,-92.98
2023-03-01,102,11,7140.98,50528.85,-43387.87,-85.87
2023-04-01,102,11,6065.61,52728.22,-46662.61,-88.5
2023-05-01,102,11,3988.81,94546.28,-90557.47,-95.78
2023-06-01,102,11,4733.15,101816.43,-97083.28,-95.35
2023-07-01,102,11,7731.68,114890.59,-107158.91,-93.27
2023-08-01,102,11,7823.8,77642.92,-69819.12,-89.92
2023-09-01,102,11,8421.57,109746.36,-101324.79,-92.33
2023-10-01,102,11,9850.93,77629.96,-67779.03,-87.31
2023-11-01,102,11,9800.91,88856.77,-79055.86,-88.97
2023-12-01,102,11,4817.66,92021.27,-87203.61,-94.76
2024-01-01,102,11,6758.39,122788.6,-116030.21,-94.5
2024-02-01,102,11,7037.32,50282.05,-43244.73,-86.0
2024-03-01,102,11,7509.44,103096.08,-95586.64,-92.72
2024-04-01,102,11,4020.69,107700.32,-103679.63,-96.27
2024-05-01,102,11,10746.94,86860.7,-76113.76,-87.63
2024-06-01,102,11,10121.51,53820.5,-43698.99,-81.19
2024-07-01,102,11,8480.54,106394.12,-97913.58,-92.03
2024-08-01,102,11,5839.14,85537.86,-79698.72,-93.17
